disease,symptoms,tips
Migraine with Aura (recurrent),headache; visual disturbances,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis - pediatric,mucus; cough; mild fever; headache,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (acute),facial pain; headache; runny nose,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media - adult,hearing difficulty; fever,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (acute),pus; pain; swelling; redness,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - adult,palpitations; insomnia; worry; restlessness,"Consider therapy, lifestyle changes, medications as advised"
Depression (chronic),sleep changes; loss of interest; low mood; fatigue; fatigue,"Seek professional help: therapy, social support, medications"
Back Pain (chronic),stiffness; lower back pain,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis (acute),stiffness; reduced range of motion,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (recurrent),joint pain; swelling; morning stiffness,"Early rheumatology referral, DMARDs and symptom control"
Common Cold,sore throat; sneezing; runny nose; cough; loss of appetite,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (chronic),chills; fever; fatigue; cough; body aches,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine (chronic),headache; nausea; fever,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis - adult,vomiting; stomach pain; diarrhea; nausea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (acute),nasal congestion; runny nose; nausea,"Avoid allergen, antihistamines, nasal corticosteroid sprays; consult your healthcare provider if symptoms worsen"
Pneumonia,fever; cough; shortness of breath; chest pain,See a doctor — may need antibiotics or supportive care
Asthma (chronic),chest tightness; wheeze; cough,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (acute),nosebleeds; dizziness,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (recurrent),frequent urination; fatigue,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection (chronic),painful urination; frequent urination; nausea,"Stay hydrated, see a doctor for antibiotics if bacterial; consult your healthcare provider if symptoms worsen"
Migraine with Aura,nausea; headache; loss of appetite,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis - pediatric,mild fever; cough; mucus,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (recurrent),headache; nasal congestion,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media - pediatric,ear pain; fever,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (acute),pain; redness; pus; swelling,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - adult,insomnia; restlessness; worry; fever,"Consider therapy, lifestyle changes, medications as advised"
Depression - adult,fatigue; loss of interest; low mood; sleep changes,"Seek professional help: therapy, social support, medications"
Back Pain (acute),lower back pain; stiffness,"Stay active, pain relief, physiotherapy if persistent; consult your healthcare provider if symptoms worsen"
Osteoarthritis (acute),stiffness; joint pain; reduced range of motion; headache,"Exercise, weight management, pain control, joint injections or surgery in severe cases; consult your healthcare provider if symptoms worsen"
Rheumatoid Arthritis (recurrent),swelling; joint pain,"Early rheumatology referral, DMARDs and symptom control"
Common Cold - adult,runny nose; cough; sneezing; sore throat,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza,body aches; fatigue; chills,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine,headache; visual aura,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis - adult,diarrhea; nausea; vomiting; stomach pain,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (chronic),itchy eyes; nasal congestion,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia (chronic),shortness of breath; cough; chest pain,See a doctor — may need antibiotics or supportive care
Asthma - pediatric,shortness of breath; chest tightness; fatigue,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - pediatric,headache; dizziness; nosebleeds; fatigue,"Lifestyle changes, medications as prescribed; regular monitoring; consult your healthcare provider if symptoms worsen"
Type 2 Diabetes (chronic),increased thirst; blurred vision; frequent urination,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection,painful urination; frequent urination,"Stay hydrated, see a doctor for antibiotics if bacterial; consult your healthcare provider if symptoms worsen"
Migraine with Aura,nausea; visual disturbances,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis (recurrent),mucus; mild fever; fatigue; loss of appetite,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (chronic),runny nose; nasal congestion,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media,fever; hearing difficulty; ear pain,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (chronic),pain; pus; swelling,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (acute),insomnia; palpitations; restlessness; worry; headache,"Consider therapy, lifestyle changes, medications as advised"
Depression,sleep changes; fatigue; low mood; loss of interest,"Seek professional help: therapy, social support, medications; consult your healthcare provider if symptoms worsen"
Back Pain (chronic),limited mobility; stiffness; fever,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - pediatric,joint pain; stiffness,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (acute),swelling; joint pain; morning stiffness; headache,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (chronic),sore throat; cough; runny nose; sneezing; fever,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza,fever; cough; body aches,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine - pediatric,nausea; sensitivity to light,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis - adult,vomiting; diarrhea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - adult,sneezing; nasal congestion; itchy eyes; runny nose; nausea,"Avoid allergen, antihistamines, nasal corticosteroid sprays; consult your healthcare provider if symptoms worsen"
Pneumonia,fever; cough; chest pain; shortness of breath,See a doctor — may need antibiotics or supportive care
Asthma (chronic),shortness of breath; chest tightness,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension,headache; nosebleeds; dizziness,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (recurrent),frequent urination; fatigue,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection (acute),lower abdominal pain; frequent urination; painful urination; headache,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura - pediatric,visual disturbances; nausea; headache,As for migraine; seek medical care if pattern changes
Bronchitis (chronic),cough; mild fever; headache,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis,runny nose; facial pain; headache,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media,hearing difficulty; ear pain; fever; nausea,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (acute),swelling; pus; redness; pain,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (recurrent),insomnia; worry; palpitations,"Consider therapy, lifestyle changes, medications as advised; consult your healthcare provider if symptoms worsen"
Depression,fatigue; sleep changes; low mood; loss of interest,"Seek professional help: therapy, social support, medications"
Back Pain,limited mobility; stiffness; lower back pain; fever,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis,stiffness; joint pain; reduced range of motion; fever,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (chronic),morning stiffness; joint pain; swelling; headache,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (acute),sneezing; cough; sore throat; runny nose,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (chronic),cough; chills,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine,sensitivity to light; visual aura,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (chronic),nausea; vomiting,"Hydration (oral rehydration), rest; see doctor if severe; consult your healthcare provider if symptoms worsen"
Allergic Rhinitis - pediatric,itchy eyes; sneezing,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia,cough; fever,See a doctor — may need antibiotics or supportive care
Asthma (acute),wheeze; cough; shortness of breath,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (acute),nosebleeds; headache; fatigue,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (chronic),increased thirst; frequent urination,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - adult,painful urination; lower abdominal pain; frequent urination,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura (recurrent),visual disturbances; nausea; fever,As for migraine; seek medical care if pattern changes
Bronchitis,cough; mild fever; mucus; fatigue; fever,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis - pediatric,facial pain; runny nose; nasal congestion; headache,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media - pediatric,ear pain; fever; hearing difficulty,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (recurrent),redness; pus; pain,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - pediatric,restlessness; insomnia; palpitations,"Consider therapy, lifestyle changes, medications as advised"
Depression (recurrent),fatigue; sleep changes; loss of interest; low mood,"Seek professional help: therapy, social support, medications; consult your healthcare provider if symptoms worsen"
Back Pain - pediatric,lower back pain; stiffness; limited mobility,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - adult,stiffness; joint pain,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (chronic),morning stiffness; swelling; joint pain,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (acute),runny nose; sore throat; sneezing; nausea,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (acute),chills; fatigue; fever; body aches; fever,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine - adult,visual aura; nausea; headache; sensitivity to light,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (chronic),nausea; diarrhea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (recurrent),sneezing; nasal congestion; runny nose,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia,chest pain; shortness of breath; fever,See a doctor — may need antibiotics or supportive care
Asthma - pediatric,chest tightness; wheeze; cough; shortness of breath,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan; consult your healthcare provider if symptoms worsen"
Hypertension - pediatric,dizziness; headache; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (acute),increased thirst; blurred vision; fatigue; frequent urination,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection (recurrent),lower abdominal pain; frequent urination,"Stay hydrated, see a doctor for antibiotics if bacterial; consult your healthcare provider if symptoms worsen"
Migraine with Aura (recurrent),nausea; visual disturbances; headache,As for migraine; seek medical care if pattern changes
Bronchitis (acute),cough; mild fever; fatigue; mucus,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis - pediatric,facial pain; runny nose; headache; nasal congestion; fatigue,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media,fever; ear pain; hearing difficulty,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (acute),swelling; redness; nausea,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - pediatric,insomnia; restlessness; palpitations,"Consider therapy, lifestyle changes, medications as advised"
Depression (chronic),low mood; fatigue; loss of interest; sleep changes,"Seek professional help: therapy, social support, medications"
Back Pain (chronic),limited mobility; lower back pain; loss of appetite,"Stay active, pain relief, physiotherapy if persistent; consult your healthcare provider if symptoms worsen"
Osteoarthritis (recurrent),joint pain; stiffness; reduced range of motion,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (acute),morning stiffness; joint pain,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (chronic),runny nose; cough; sore throat; sneezing; nausea,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (chronic),fatigue; cough; chills; body aches; fever,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine (chronic),sensitivity to light; headache,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis - adult,stomach pain; diarrhea; vomiting,"Hydration (oral rehydration), rest; see doctor if severe; consult your healthcare provider if symptoms worsen"
Allergic Rhinitis,sneezing; runny nose; itchy eyes; nasal congestion,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - pediatric,shortness of breath; chest pain; cough; fever; headache,See a doctor — may need antibiotics or supportive care
Asthma (acute),chest tightness; cough; shortness of breath; wheeze,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (acute),dizziness; headache; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes,increased thirst; blurred vision; fatigue; fever,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection (recurrent),lower abdominal pain; painful urination,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura (acute),headache; visual disturbances; fever,As for migraine; seek medical care if pattern changes
Bronchitis - adult,mild fever; fatigue,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis - pediatric,headache; nasal congestion; runny nose,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media (acute),hearing difficulty; ear pain; fever,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (recurrent),redness; swelling; pain; pus; fever,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - pediatric,insomnia; worry; palpitations; restlessness,"Consider therapy, lifestyle changes, medications as advised"
Depression (recurrent),fatigue; sleep changes; nausea,"Seek professional help: therapy, social support, medications; consult your healthcare provider if symptoms worsen"
Back Pain (chronic),lower back pain; limited mobility; stiffness,"Stay active, pain relief, physiotherapy if persistent; consult your healthcare provider if symptoms worsen"
Osteoarthritis (recurrent),reduced range of motion; stiffness,"Exercise, weight management, pain control, joint injections or surgery in severe cases; consult your healthcare provider if symptoms worsen"
Rheumatoid Arthritis (acute),swelling; joint pain; fatigue,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (recurrent),sneezing; cough,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (acute),body aches; fever; cough; fatigue; loss of appetite,"Rest, fluids, see a doctor if severe; antiviral meds may help early; consult your healthcare provider if symptoms worsen"
Migraine - pediatric,nausea; headache; visual aura; sensitivity to light; nausea,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (acute),vomiting; diarrhea; stomach pain,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (acute),nasal congestion; itchy eyes; loss of appetite,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia,chest pain; fever; shortness of breath,See a doctor — may need antibiotics or supportive care
Asthma - adult,cough; chest tightness; wheeze; fatigue,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (chronic),nosebleeds; headache,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes - pediatric,frequent urination; fatigue,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - pediatric,painful urination; lower abdominal pain; frequent urination; fever,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura,headache; visual disturbances; nausea,As for migraine; seek medical care if pattern changes
Bronchitis (acute),cough; mucus; loss of appetite,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis (recurrent),headache; runny nose,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media (acute),ear pain; fever,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection - adult,redness; swelling; pus,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - pediatric,palpitations; worry; restlessness; insomnia,"Consider therapy, lifestyle changes, medications as advised"
Depression - pediatric,loss of interest; fatigue; low mood; sleep changes,"Seek professional help: therapy, social support, medications"
Back Pain - pediatric,limited mobility; lower back pain; fever,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - adult,stiffness; joint pain; reduced range of motion,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis,morning stiffness; joint pain; swelling; loss of appetite,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (recurrent),sore throat; sneezing; runny nose; cough,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (recurrent),fatigue; cough; fever; body aches; chills,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine - adult,nausea; headache; sensitivity to light; visual aura,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (recurrent),nausea; stomach pain; diarrhea; vomiting,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - pediatric,sneezing; itchy eyes,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia,fever; shortness of breath; cough; loss of appetite,See a doctor — may need antibiotics or supportive care
Asthma - pediatric,cough; wheeze; shortness of breath,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension,nosebleeds; headache; nausea,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (recurrent),fatigue; increased thirst; frequent urination,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection (recurrent),lower abdominal pain; frequent urination,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura - adult,visual disturbances; headache; nausea,As for migraine; seek medical care if pattern changes
Bronchitis (recurrent),cough; fatigue; mild fever; mucus,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis,nasal congestion; runny nose; headache; facial pain,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media (chronic),hearing difficulty; fever,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection,pain; redness; pus; swelling,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder,palpitations; restlessness; worry; insomnia,"Consider therapy, lifestyle changes, medications as advised"
Depression - pediatric,loss of interest; fatigue,"Seek professional help: therapy, social support, medications"
Back Pain (acute),lower back pain; limited mobility,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - adult,joint pain; stiffness,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (acute),morning stiffness; swelling; joint pain,"Early rheumatology referral, DMARDs and symptom control"
Common Cold,runny nose; cough; sore throat; loss of appetite,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza - pediatric,chills; cough; fever,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine - adult,headache; sensitivity to light; visual aura; nausea,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis,diarrhea; vomiting; stomach pain; nausea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - pediatric,nasal congestion; itchy eyes; sneezing,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - adult,cough; shortness of breath; fever; loss of appetite,See a doctor — may need antibiotics or supportive care; consult your healthcare provider if symptoms worsen
Asthma,wheeze; chest tightness; shortness of breath,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - pediatric,dizziness; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes - adult,blurred vision; fatigue; nausea,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection (recurrent),lower abdominal pain; painful urination; frequent urination; fever,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura - adult,headache; visual disturbances; nausea; nausea,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis - pediatric,fatigue; mild fever; mucus,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (recurrent),runny nose; facial pain; headache; nasal congestion,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media (recurrent),fever; hearing difficulty; headache,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection,pain; redness; pus; nausea,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - adult,restlessness; worry; fever,"Consider therapy, lifestyle changes, medications as advised; consult your healthcare provider if symptoms worsen"
Depression (chronic),loss of interest; fatigue,"Seek professional help: therapy, social support, medications"
Back Pain (chronic),limited mobility; stiffness,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - adult,reduced range of motion; stiffness; joint pain,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (recurrent),joint pain; morning stiffness; headache,"Early rheumatology referral, DMARDs and symptom control"
Common Cold - pediatric,cough; sore throat,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (acute),cough; fatigue; body aches; fever,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine - pediatric,sensitivity to light; nausea; visual aura; headache,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis,vomiting; nausea; stomach pain; diarrhea; fatigue,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (recurrent),runny nose; sneezing; nasal congestion,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - pediatric,chest pain; cough,See a doctor — may need antibiotics or supportive care
Asthma - adult,shortness of breath; wheeze; chest tightness; fever,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan; consult your healthcare provider if symptoms worsen"
Hypertension - adult,dizziness; nosebleeds; headache,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes,blurred vision; increased thirst,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection (acute),painful urination; frequent urination; lower abdominal pain,"Stay hydrated, see a doctor for antibiotics if bacterial; consult your healthcare provider if symptoms worsen"
Migraine with Aura (recurrent),visual disturbances; nausea,As for migraine; seek medical care if pattern changes
Bronchitis (chronic),mild fever; fatigue; loss of appetite,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis - pediatric,runny nose; facial pain; headache,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media - adult,fever; hearing difficulty; ear pain,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (acute),swelling; redness; pus; fatigue,"Keep clean, see doctor for antibiotics if spreading or severe"
